Rank,Release Group,Worldwide,Domestic,%,Foreign,%
84,Incitement,"$140,306","$140,306",100%,-,-
85,Gremlins 2020 Re-release,"$140,000","$140,000",100%,-,-
86,Most Wanted,"$138,000","$138,000",100%,-,-
87,Beneath Us,"$137,260","$137,260",100%,-,-
88,The Booksellers,"$135,086","$25,694",19%,"$109,392",81%
89,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
90,Hope Gap,"$124,411","$104,732",84.2%,"$19,679",15.8%
91,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
92,Archive,"$118,674","$118,674",100%,-,-
93,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
94,Lucky Grandma,"$102,000","$102,000",100%,-,-
95,First Cow,"$101,068","$101,068",100%,-,-
96,The Burnt Orange Heresy,"$98,162","$39,893",40.6%,"$58,269",59.4%
97,First Lady,"$93,298","$93,298",100%,-,-
98,Miss Juneteenth,"$92,349","$92,349",100%,-,-
99,Irresistible,"$90,557",-,-,"$90,557",100%
100,Never Rarely Sometimes Always,"$88,716","$16,565",18.7%,"$72,151",81.3%
101,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
102,How to Build a Girl,"$70,632","$70,632",100%,-,-
103,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
104,We Summon the Darkness,"$60,794","$60,794",100%,-,-
105,A Simple Wedding,"$54,415","$54,415",100%,-,-
106,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
107,VHYes,"$47,037","$47,037",100%,-,-
108,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
109,Babyteeth,"$46,014","$4,507",9.8%,"$41,507",90.2%
110,Saint Frances,"$44,330","$44,330",100%,-,-
111,Shirley,"$39,736",-,-,"$39,736",100%
112,Three Christs,"$36,723","$36,723",100%,-,-
113,Tread,"$36,527","$36,527",100%,-,-
114,Waiting for Anya,"$36,404",-,-,"$36,404",100%
115,After Parkland,"$30,444","$30,444",100%,-,-
