Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$419,074,646","$204,417,855",48.8%,"$214,656,791",51.2%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$224,698,168","$77,047,065",34.3%,"$147,651,103",65.7%
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$128,097,680","$64,914,050",50.7%,"$63,183,630",49.3%
6,Onward,"$108,624,752","$61,555,145",56.7%,"$47,069,607",43.3%
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
8,Fantasy Island,"$47,315,959","$26,441,782",55.9%,"$20,874,177",44.1%
9,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
10,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
11,Bloodshot,"$30,265,633","$10,021,787",33.1%,"$20,243,846",66.9%
12,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
13,Emma.,"$25,231,081","$10,055,355",39.9%,"$15,175,726",60.1%
14,Gretel & Hansel,"$21,676,865","$15,347,654",70.8%,"$6,329,211",29.2%
15,The Photograph,"$20,653,204","$20,578,185",99.6%,"$75,019",0.4%
16,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
17,The Turning,"$18,594,342","$15,472,775",83.2%,"$3,121,567",16.8%
18,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
19,I Still Believe,"$11,346,349","$9,868,521",87%,"$1,477,828",13%
20,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
21,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$9,881,670","$611,000",6.2%,"$9,270,670",93.8%
22,The Personal History of David Copperfield,"$9,132,289",-,-,"$9,132,289",100%
23,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
24,Malang,"$8,394,609",-,-,"$8,394,609",100%
25,The Hunt,"$8,377,244","$5,812,500",69.4%,"$2,564,744",30.6%
26,Trolls World Tour,"$7,238,314",-,-,"$7,238,314",100%
27,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
28,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
29,Spirited Away Studio Ghibli Fest 2020,"$5,769,961",-,-,"$5,769,961",100%
30,Princess Mononoke Studio Ghibli Fest 2020,"$5,581,380",-,-,"$5,581,380",100%
31,My Spy,"$5,277,630",-,-,"$5,277,630",100%
32,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
33,Scoob!,"$4,452,295",-,-,"$4,452,295",100%
34,Peninsula,"$4,000,000",-,-,"$4,000,000",100%
35,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
36,Military Wives,"$3,500,918",-,-,"$3,500,918",100%
37,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
38,The Last Full Measure,"$3,257,485","$2,949,212",90.5%,"$308,273",9.5%
39,The Lodge,"$3,154,127","$2,138,907",67.8%,"$1,015,220",32.2%
40,SamSam,"$2,809,390",-,-,"$2,809,390",100%
41,The Wretched,"$2,476,030","$1,768,828",71.4%,"$707,202",28.6%
42,Baaghi 3,"$1,997,071","$721,439",36.1%,"$1,275,632",63.9%
43,Greed,"$1,454,763","$355,308",24.4%,"$1,099,455",75.6%
44,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
45,The High Note,"$1,305,143",-,-,"$1,305,143",100%
46,The Assistant,"$1,293,044","$1,100,313",85.1%,"$192,731",14.9%
47,Chhapaak,"$1,257,420","$604,334",48.1%,"$653,086",51.9%
48,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
49,Relic,"$1,033,872","$966,111",93.4%,"$67,761",6.6%
50,Color Out of Space,"$1,002,270","$765,561",76.4%,"$236,709",23.6%
51,Becky,"$936,456","$936,456",100%,-,-
52,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
53,Mafia Inc,"$889,863","$889,863",100%,-,-
54,The King of Staten Island,"$824,139",-,-,"$824,139",100%
55,Jurassic Park 2020 Re-release,"$741,600","$741,600",100%,-,-
56,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
57,Jaws 2020 Re-release,"$656,367","$656,300",100%,$67,<0.1%
58,The Outpost,"$627,065",-,-,"$627,065",100%
59,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
60,Followed,"$532,839","$532,839",100%,-,-
61,The Rental,"$518,627","$403,852",77.9%,"$114,775",22.1%
62,Ghostbusters 2020 Re-release,"$500,000","$500,000",100%,-,-
63,True History of the Kelly Gang,"$463,071","$33,817",7.3%,"$429,254",92.7%
64,Once Were Brothers: Robbie Robertson and the Band,"$449,561","$449,561",100%,-,-
65,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
66,Infamous,"$429,148","$429,148",100%,-,-
67,Black Panther 2020 Re-release,"$367,000","$367,000",100%,-,-
68,Inside Out 2020 Re-release,"$340,000","$340,000",100%,-,-
69,The Perfect Candidate,"$315,725",-,-,"$315,725",100%
70,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
71,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
72,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
73,Resistance,"$252,287","$7,464",3%,"$244,823",97%
74,Unhinged,"$251,849",-,-,"$251,849",100%
75,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
76,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
77,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
78,The Trip to Greece,"$224,083","$8,340",3.7%,"$215,743",96.3%
79,National Theater Live: Cyrano de Bergerac,"$198,352","$198,352",100%,-,-
80,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
81,Palm Springs,"$164,000","$164,000",100%,-,-
82,Cruel Peter,"$163,925",-,-,"$163,925",100%
83,Burden,"$158,132","$139,270",88.1%,"$18,862",11.9%
84,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
85,The Big Ugly,"$152,598","$152,598",100%,-,-
86,Wendy,"$143,518","$143,518",100%,-,-
87,The Booksellers,"$141,215","$25,694",18.2%,"$115,521",81.8%
88,Incitement,"$140,306","$140,306",100%,-,-
89,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
90,Gremlins 2020 Re-release,"$140,000","$140,000",100%,-,-
91,Archive,"$139,593","$139,593",100%,-,-
92,Most Wanted,"$138,000","$138,000",100%,-,-
93,Beneath Us,"$137,260","$137,260",100%,-,-
94,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
95,Hope Gap,"$124,411","$104,732",84.2%,"$19,679",15.8%
96,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
97,The Burnt Orange Heresy,"$118,559","$39,893",33.6%,"$78,666",66.4%
98,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
