Rank,Release Group,Worldwide,Domestic,%,Foreign,%
581,Greener Grass,"$76,045","$51,456",67.7%,"$24,589",32.3%
582,5B,"$72,968","$72,968",100%,-,-
583,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-
584,The White Sheik 2019 re-release,"$68,940","$50,850",73.8%,"$18,090",26.2%
585,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%
586,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%
587,Being Frank,"$67,343","$67,343",100%,-,-
588,The Jesus Rolls,"$64,648","$18,169",28.1%,"$46,479",71.9%
589,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%
590,"Love, Antosha","$62,900","$50,168",79.8%,"$12,732",20.2%
591,The Mountain,"$61,035","$61,035",100%,-,-
592,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-
593,Mickey and the Bear,"$57,188","$57,188",100%,-,-
594,Notebook,"$56,166",-,-,"$56,166",100%
595,Vitalina Varela,"$55,862","$14,941",26.7%,"$40,921",73.3%
596,Recorder: The Marion Stokes Project,"$55,632","$55,632",100%,-,-
597,American Dharma,"$51,891","$51,891",100%,-,-
598,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%
599,Clinton Road,"$50,400","$50,400",100%,-,-
600,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%
601,Free Trip to Egypt,"$49,693","$49,693",100%,-,-
602,The Bounty Killer,"$48,815","$48,815",100%,-,-
603,The Queen,"$47,818","$47,818",100%,-,-
604,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%
605,High on the Hog,"$45,696","$45,696",100%,-,-
606,The Proposal,"$45,149","$45,149",100%,-,-
607,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%
608,What Is Democracy?,"$44,536","$44,536",100%,-,-
609,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-
610,What You Gonna Do When the World's on Fire?,"$44,290","$4,672",10.5%,"$39,618",89.5%
611,Carmine Street Guitars,"$44,253","$44,253",100%,-,-
612,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%
613,Our Time,"$42,107","$14,777",35.1%,"$27,330",64.9%
614,Union,"$41,656","$41,656",100%,-,-
615,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%
616,Aniara,"$40,124","$40,124",100%,-,-
617,Zilla and Zoe,"$39,003","$39,003",100%,-,-
