Rank,Release Group,Worldwide,Domestic,%,Foreign,%
439,Sir! No Sir!,"$116,944","$116,944",100%,-,-
440,Winter Passing,"$113,783","$107,492",94.5%,"$6,291",5.5%
441,Captain Sabertooth 2006 Re-release,"$105,152","$105,152",100%,-,-
442,2 or 3 Things I Know About Her,"$104,038","$104,038",100%,-,-
443,The Real Dirt on Farmer John,"$103,714","$65,429",63.1%,"$38,285",36.9%
444,Al Franken: God Spoke,"$102,990","$102,990",100%,-,-
445,Mini's First Time,"$102,676","$49,034",47.8%,"$53,642",52.2%
446,Being Cyrus,"$100,184","$100,184",100%,-,-
447,Absolute Wilson,"$98,730","$66,217",67.1%,"$32,513",32.9%
448,Red Doors,"$97,848","$97,848",100%,-,-
449,Somersault 2006 Re-release,"$92,214","$92,214",100%,-,-
450,Beowulf & Grendel,"$92,076","$68,820",74.7%,"$23,256",25.3%
451,Anthony Kaun Hai?,"$88,420","$55,418",62.7%,"$33,002",37.3%
452,America: Freedom to Fascism,"$87,400","$87,400",100%,-,-
453,The Zodiac,"$86,872","$45,148",52%,"$41,724",48%
454,Color of the Cross,"$85,802","$85,802",100%,-,-
455,51 Birch Street,"$84,689","$84,689",100%,-,-
456,Mozart and the Whale,"$84,447","$36,006",42.6%,"$48,441",57.4%
457,Brothers of the Head,"$84,425","$45,082",53.4%,"$39,343",46.6%
458,Mannat,"$80,119","$53,589",66.9%,"$26,530",33.1%
459,Suits on the Loose,"$79,470","$79,470",100%,-,-
460,Unconscious,"$72,275","$68,501",94.8%,"$3,774",5.2%
461,Cavite,"$70,071","$70,071",100%,-,-
462,Close to Home,"$67,110","$20,931",31.2%,"$46,179",68.8%
463,D' Lucky Ones!,"$64,352","$64,352",100%,-,-
464,Vajra Sky Over Tibet,"$62,356","$62,356",100%,-,-
465,Poster Boy,"$62,062","$62,062",100%,-,-
466,Aurora Borealis,"$60,729","$60,729",100%,-,-
467,Pyaar Ke Side Effects,"$60,714","$30,230",49.8%,"$30,484",50.2%
468,Pandora's Box,"$57,472","$53,485",93.1%,"$3,987",6.9%
469,Man Push Cart,"$55,903","$36,608",65.5%,"$19,295",34.5%
470,That Man: Peter Berlin,"$55,398","$55,398",100%,-,-
471,Kalamazoo?,"$53,609","$53,609",100%,-,-
472,Plagues and Pleasures on the Salton Sea,"$53,471","$53,471",100%,-,-
473,Close to You,"$52,654","$52,654",100%,-,-
474,Screamers,"$52,034","$52,034",100%,-,-
475,The Strange Case of Dr. Jekyll and Mr. Hyde,"$51,721","$24,216",46.8%,"$27,505",53.2%
476,Moonlight,"$51,570","$51,570",100%,-,-
477,The Motel,"$51,540","$51,540",100%,-,-
478,Shakespeare Behind Bars,"$48,594","$48,594",100%,-,-
479,Sisters in Law,"$48,526","$33,312",68.6%,"$15,214",31.4%
480,Be with Me,"$48,443","$1,365",2.8%,"$47,078",97.2%
481,Two Weeks,"$47,986","$47,986",100%,-,-
482,Tibet: A Buddhist Trilogy,"$47,243","$47,243",100%,-,-
483,Azumi 2006 Re-release,"$41,803","$41,803",100%,-,-
484,Backstage,"$40,507","$12,663",31.3%,"$27,844",68.7%
485,Khosla's Nest,"$40,194","$26,472",65.9%,"$13,722",34.1%
486,Rape of the Soul,"$39,975","$39,975",100%,-,-
487,The Blossoming of Maximo Oliveros,"$38,691","$28,041",72.5%,"$10,650",27.5%
488,Eating Out 2: Sloppy Seconds,"$37,072","$37,072",100%,-,-
489,Monkey Warfare,"$36,875","$36,875",100%,-,-
490,Paper Dolls,"$36,577","$36,577",100%,-,-
491,Been Rich All My Life,"$36,406","$36,406",100%,-,-
492,Can Mr. Smith Get to Washington Anymore?,"$35,397","$35,397",100%,-,-
493,Swimmers,"$34,812","$34,812",100%,-,-
494,American Gun,"$34,138","$24,098",70.6%,"$10,040",29.4%
495,"My Country, My Country","$33,620","$33,620",100%,-,-
496,Loverboy 2006 Re-release,"$33,223","$33,223",100%,-,-
497,Fanfan la Tulipe,"$30,590","$30,590",100%,-,-
498,Take My Eyes 2006 Re-release,"$30,496","$30,496",100%,-,-
499,Standing Still,"$30,142","$30,142",100%,-,-
500,Henri Cartier-Bresson: The Impassioned Eye,"$29,710","$29,710",100%,-,-
501,Romántico,"$29,460","$29,460",100%,-,-
502,The Piano Tuner of EarthQuakes,"$29,121","$29,121",100%,-,-
503,The Heart Is Deceitful Above All Things 2006 Re-release,"$29,058","$29,058",100%,-,-
504,Guys and Balls 2006 Re-release,"$28,324","$28,324",100%,-,-
505,Boys Briefs 4,"$27,449","$27,449",100%,-,-
506,Who Gets to Call It Art?,"$27,344","$27,344",100%,-,-
507,Iron Island,"$27,177","$27,177",100%,-,-
508,Abduction: The Megumi Yokota Story,"$26,859","$26,859",100%,-,-
509,Trudell,"$26,756","$26,756",100%,-,-
510,Through the Fire,"$25,752","$25,752",100%,-,-
511,Fuck,"$25,428","$22,359",87.9%,"$3,069",12.1%
512,Wrestling with Angels: Playwright Tony Kushner,"$24,729","$24,729",100%,-,-
513,Two Drifters,"$24,452","$24,452",100%,-,-
514,Off the Black,"$24,425","$24,425",100%,-,-
515,When the Sea Rises 2006 Re-release,"$24,038","$24,038",100%,-,-
516,Islam: What the West Needs to Know,"$22,938","$22,938",100%,-,-
517,Ambrose Bierce: Civil War Stories,"$22,918","$22,918",100%,-,-
518,Dead Fish,"$22,679",-,-,"$22,679",100%
519,Falcone,"$22,300","$22,300",100%,-,-
520,Giuliani Time,"$21,967","$21,967",100%,-,-
521,So Much So Fast,"$21,525","$21,525",100%,-,-
522,Yang Ban Xi: The 8 Modelworks,"$21,244","$21,244",100%,-,-
523,The Case of the Grinning Cat,"$20,944","$20,944",100%,-,-
524,Killer Diller,"$20,795","$20,795",100%,-,-
