Rank,Release Group,Worldwide,Domestic,%,Foreign,%
73,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
74,Resistance,"$233,153","$7,464",3.2%,"$225,689",96.8%
75,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
76,The Trip to Greece,"$224,083","$8,340",3.7%,"$215,743",96.3%
77,National Theater Live: Cyrano de Bergerac,"$198,352","$198,352",100%,-,-
78,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
79,Palm Springs,"$164,000","$164,000",100%,-,-
80,Cruel Peter,"$163,925",-,-,"$163,925",100%
81,Burden,"$158,132","$139,270",88.1%,"$18,862",11.9%
82,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
83,Wendy,"$143,518","$143,518",100%,-,-
84,The Booksellers,"$141,215","$25,694",18.2%,"$115,521",81.8%
85,Incitement,"$140,306","$140,306",100%,-,-
86,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
87,Gremlins 2020 Re-release,"$140,000","$140,000",100%,-,-
88,Archive,"$139,593","$139,593",100%,-,-
89,Most Wanted,"$138,000","$138,000",100%,-,-
90,Beneath Us,"$137,260","$137,260",100%,-,-
91,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
92,Hope Gap,"$124,411","$104,732",84.2%,"$19,679",15.8%
93,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
94,The Burnt Orange Heresy,"$118,559","$39,893",33.6%,"$78,666",66.4%
95,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
96,Lucky Grandma,"$102,000","$102,000",100%,-,-
97,First Cow,"$101,068","$101,068",100%,-,-
98,First Lady,"$93,298","$93,298",100%,-,-
99,Miss Juneteenth,"$92,349","$92,349",100%,-,-
100,Irresistible,"$90,557",-,-,"$90,557",100%
101,Never Rarely Sometimes Always,"$88,716","$16,565",18.7%,"$72,151",81.3%
102,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
103,How to Build a Girl,"$70,632","$70,632",100%,-,-
104,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
105,A Simple Wedding,"$54,415","$54,415",100%,-,-
106,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
107,VHYes,"$47,037","$47,037",100%,-,-
108,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
109,Babyteeth,"$46,014","$4,507",9.8%,"$41,507",90.2%
110,Saint Frances,"$44,330","$44,330",100%,-,-
111,Shirley,"$39,736",-,-,"$39,736",100%
112,Three Christs,"$36,723","$36,723",100%,-,-
113,Tread,"$36,527","$36,527",100%,-,-
114,Waiting for Anya,"$36,404",-,-,"$36,404",100%
115,After Parkland,"$30,444","$30,444",100%,-,-
116,Olympic Dreams,"$29,450","$29,450",100%,-,-
117,Buffaloed,"$29,118","$29,118",100%,-,-
118,Abe,"$28,657",-,-,"$28,657",100%
119,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
120,José,"$26,563","$26,563",100%,-,-
121,Unsubscribe,"$25,488","$25,488",100%,-,-
122,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
123,Heart of Africa,"$24,139","$24,139",100%,-,-
124,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
125,Premature,"$23,071","$23,071",100%,-,-
126,L'Innocente,"$22,549","$22,549",100%,-,-
127,Never Too Late,"$21,915",-,-,"$21,915",100%
128,Young Ahmed Domestic,"$21,291","$21,291",100%,-,-
129,Lore,"$20,006","$20,006",100%,-,-
130,Max Winslow and the House of Secrets,"$18,750","$18,750",100%,-,-
131,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
132,Made in Hong Kong,"$17,255","$17,255",100%,-,-
133,Advocate,"$16,942","$16,942",100%,-,-
134,Straight Up,"$16,080","$16,080",100%,-,-
135,The Shining 40th Anniversary,"$15,960",-,-,"$15,960",100%
136,"I Was at Home, But","$14,078","$14,078",100%,-,-
137,Powerbomb,"$11,319","$11,319",100%,-,-
138,Lost in America,"$11,301","$11,301",100%,-,-
139,You Go to My Head,"$10,682","$10,682",100%,-,-
140,Foosballers,"$9,966","$9,966",100%,-,-
141,Just One More Kiss,"$9,130","$9,130",100%,-,-
142,Inside the Rain,"$8,140","$8,140",100%,-,-
143,The Wave,"$8,101","$8,101",100%,-,-
144,Human Capital,"$6,596","$6,596",100%,-,-
145,Afterward,"$6,477","$6,477",100%,-,-
146,Juvenile Delinquents,"$6,312","$6,312",100%,-,-
147,The Other Lamb,"$6,024","$6,024",100%,-,-
148,King's Gambit,"$3,816","$3,816",100%,-,-
149,The Roads Not Taken,"$3,518","$3,518",100%,-,-
150,Sex and the Future,"$3,502","$3,502",100%,-,-
151,Valley Girl,"$3,080",-,-,"$3,080",100%
152,Guest Artist,"$2,790","$2,790",100%,-,-
153,Moondance,"$2,371","$2,371",100%,-,-
154,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
155,Goldie,"$2,302","$2,302",100%,-,-
156,Gul Makai,"$2,035",-,-,"$2,035",100%
157,The Fox Hunter,"$1,577","$1,577",100%,-,-
158,Hai Tang Hong,"$1,107","$1,107",100%,-,-
159,The Transcendents,"$1,090","$1,090",100%,-,-
160,Inception 10th Anniversary re-release,$387,-,-,$387,100%
161,Spaceship Earth,$168,-,-,$168,100%
