Rank,Release Group,Worldwide,Domestic,%,Foreign,%
399,Manic,"$69,958","$69,958",100%,-,-
400,Mga munting tinig,"$69,739","$69,739",100%,-,-
401,Dopamine,"$69,544","$69,544",100%,-,-
402,What Alice Found,"$67,436","$67,436",100%,-,-
403,Blind Shaft,"$65,383","$33,272",50.9%,"$32,111",49.1%
404,Only the Strong Survive,"$63,778","$57,581",90.3%,"$6,197",9.7%
405,Down and Out with the Dolls,"$60,000","$60,000",100%,-,-
406,The Young Unknowns,"$59,166","$59,166",100%,-,-
407,Eyes Without a Face,"$58,565","$58,565",100%,-,-
408,Springtime in a Small Town,"$57,751","$43,017",74.5%,"$14,734",25.5%
409,Kart Racer,"$56,146","$56,146",100%,-,-
410,Unknown Pleasures,"$55,901","$11,254",20.1%,"$44,647",79.9%
411,Dracula: Pages from a Virgin's Diary,"$55,365","$55,365",100%,-,-
412,Boys Life 4: Four Play,"$53,169","$53,169",100%,-,-
413,Waiting for Happiness,"$53,048","$7,406",14%,"$45,642",86%
414,Herod's Law,"$52,000","$52,000",100%,-,-
415,A Family Affair,"$50,075","$50,075",100%,-,-
416,AKA,"$49,988","$49,988",100%,-,-
417,Confusion of Genders 2003 Re-release,"$49,237","$49,237",100%,-,-
418,Au Hasard Balthazar,"$45,406","$45,406",100%,-,-
419,Secret Lives: Hidden Children and Their Rescuers During WWII,"$42,390","$42,390",100%,-,-
420,My Flesh and Blood,"$40,573","$40,573",100%,-,-
421,Power Trip,"$39,359","$39,359",100%,-,-
422,Bollywood/Hollywood 2003 Re-release,"$37,962","$37,962",100%,-,-
423,Millennium Actress,"$37,641","$37,641",100%,-,-
424,This Thing of Ours,"$37,227","$37,227",100%,-,-
425,From Here to Eternity,"$36,416","$36,416",100%,-,-
426,The Event,"$35,554","$35,554",100%,-,-
427,Hotel,"$34,971","$29,813",85.3%,"$5,158",14.7%
428,A Decade Under the Influence,"$34,837","$34,837",100%,-,-
429,Martin & Orloff,"$34,222","$34,222",100%,-,-
430,Glowing Eyes,"$31,653","$31,653",100%,-,-
431,Sans Soleil,"$30,878","$30,878",100%,-,-
432,Under the Skin of the City,"$30,666","$30,666",100%,-,-
433,Gang of Roses,"$30,497","$30,497",100%,-,-
434,Big Girls Don't Cry,"$29,361","$1,238",4.2%,"$28,123",95.8%
435,Teknolust,"$28,811","$28,811",100%,-,-
436,P.S. Your Cat Is Dead!,"$28,454","$28,454",100%,-,-
437,Beyond Vanilla,"$27,396","$27,396",100%,-,-
438,Everybody Says I'm Fine!,"$27,225","$27,225",100%,-,-
439,9 Dead Gay Guys,"$26,377","$26,377",100%,-,-
440,Rana's Wedding,"$24,930","$10,604",42.5%,"$14,326",57.5%
441,Luster,"$24,137","$24,137",100%,-,-
442,American Storytellers,"$24,082","$24,082",100%,-,-
443,Almost Salinas,"$21,419","$21,419",100%,-,-
444,The Guys,"$21,366","$21,366",100%,-,-
445,"Float Like a Butterfly, Sting Like a Bee","$20,073","$20,073",100%,-,-
446,The Journey,"$19,800","$19,800",100%,-,-
447,Garmento,"$19,402","$19,402",100%,-,-
448,Venus Boyz 2003 Re-release,"$18,515","$18,515",100%,-,-
449,Hidden in Plain Sight,"$16,803","$16,803",100%,-,-
450,Cuban Rafters 2003 Re-release,"$16,783","$16,783",100%,-,-
451,Medea,"$16,714","$16,714",100%,-,-
452,The Intended,"$16,290","$8,106",49.8%,"$8,184",50.2%
453,Onmyoji: The Yin Yang Master,"$16,234","$16,234",100%,-,-
454,Wattstax,"$16,000","$16,000",100%,-,-
455,7th Street,"$15,629","$15,629",100%,-,-
456,Abouna,"$15,476","$3,290",21.3%,"$12,186",78.7%
457,Khachaturian,"$15,084","$15,084",100%,-,-
458,The Anarchist Cookbook,"$14,369","$14,369",100%,-,-
459,The Slaughter Rule,"$13,411","$13,411",100%,-,-
460,The Legend of Leigh Bowery,"$11,989","$11,989",100%,-,-
461,Manfast,"$11,480","$11,480",100%,-,-
462,Love Forbidden 2003 Re-release,"$11,421","$11,421",100%,-,-
463,Camera Obscura,"$11,384","$11,384",100%,-,-
464,Cinemania,"$11,305","$11,305",100%,-,-
465,Gasoline,"$11,023","$11,023",100%,-,-
466,Manito,"$11,000","$11,000",100%,-,-
467,Nola,"$10,550","$10,550",100%,-,-
468,"L'Chayim, Comrade Stalin","$9,397","$9,397",100%,-,-
469,Acts of Worship,"$9,377","$9,377",100%,-,-
470,Missing Young Woman,"$8,858","$8,858",100%,-,-
471,Zero Day,"$8,466","$8,466",100%,-,-
472,Suspended Animation,"$8,169","$8,169",100%,-,-
473,In the Mirror of Maya Deren,"$8,077","$8,077",100%,-,-
474,No Turning Back,"$8,042","$8,042",100%,-,-
475,The Scoundrel's Wife,"$8,018","$8,018",100%,-,-
476,Witness for the Prosecution,"$7,693",-,-,"$7,693",100%
477,Controlled Chaos,"$7,549","$7,549",100%,-,-
478,Pursuit of Happiness,"$6,850","$6,850",100%,-,-
479,Forget Baghdad: Jews and Arabs - The Iraqi Connection,"$6,151","$3,741",60.8%,"$2,410",39.2%
480,The Calling 2003 Re-release,"$6,092","$6,092",100%,-,-
481,"La Commune (Paris, 1871)","$5,340","$5,340",100%,-,-
482,Home Room,"$5,216","$5,216",100%,-,-
483,"Vendetta: No Conscience, No Mercy","$5,161","$5,161",100%,-,-
484,Kira's Reason: A Love Story,"$4,847","$4,847",100%,-,-
485,High Times Potluck,"$4,827","$4,827",100%,-,-
486,Chaos,"$4,608","$4,608",100%,-,-
487,Jersey Guy,"$4,268","$4,268",100%,-,-
488,Melvin Goes to Dinner,"$4,168","$4,168",100%,-,-
489,Ordinary Sinner,"$4,083","$4,083",100%,-,-
490,Bawandar,"$3,779","$3,779",100%,-,-
491,Dr. Benny,"$3,657","$3,657",100%,-,-
492,Warrior of Light,"$3,617","$3,617",100%,-,-
493,Journeys with George,"$3,588","$3,588",100%,-,-
494,Sister Helen,"$3,541","$3,541",100%,-,-
495,Short Eyes,"$3,456","$3,456",100%,-,-
496,The Work and the Story,"$3,233","$3,233",100%,-,-
497,The Backyard,"$3,200","$3,200",100%,-,-
498,Dischord,"$2,199","$2,199",100%,-,-
499,Hell's Highway: The True Story of Highway Safety Films,"$2,171","$2,171",100%,-,-
500,Enemies of Laughter,"$2,000","$2,000",100%,-,-
501,Blindness,"$1,602","$1,602",100%,-,-
502,Wash Dry and Spin Out,"$1,570","$1,570",100%,-,-
503,Independent Spirits: Faith Hubley/John Hubley,"$1,551","$1,551",100%,-,-
504,The Ballad of Bering Strait,"$1,440","$1,440",100%,-,-
505,El Leyton,"$1,332","$1,332",100%,-,-
506,Exorcism,"$1,303","$1,303",100%,-,-
507,A House on a Hill,$984,$984,100%,-,-
